Loan,ID,Activity,Country,Partner,Amount,Gender,Arrears,Term,Schedule,"Defaulted Date","Ended Date","You Loaned","Purchase Date","Promotional Credit","Promotional Credit Amount","Paid Back to You","Total Paid Back","Amount Funded","Your Arrears","Currency Loss","Defaulted Amount","Refunded Amount","Expired Amount",Team,Status,Dedication
Bazarkul,2134604,Dairy,Kyrgyzstan,"Bai Tushum Bank",1425.00,female,,14,Irregularly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,1425.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Mo'ui,2124450,"Personal Housing Expenses",Tonga,"South Pacific Business Development (SPBD) - Tonga",1975.00,female,,14,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,1975.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Alisi,2111830,"Grocery Store",Fiji,"South Pacific Business Development (SPBD) - Fiji",1300.00,female,,14,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,1300.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Donald,2133770,Farming,Kenya,"Apollo Agriculture",175.00,male,,10,"At end of term",,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,175.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
"MUJERES DE LUZ Y ESPERANZA   ",2132204,"Food Production/Sales",Nicaragua,"Pro Mujer Nicaragua",2475.00,female,,8,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,2475.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Ergashoy,2140818,Embroidery,Tajikistan,"IMON International",275.00,female,,14,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,275.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
"TUZAMURANE A CB",2124683,"Food Production/Sales",Rwanda,"Urwego Bank",5050.00,female,,8,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,5050.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
"CORAZON DE JESUS",2125912,"General Store",Nicaragua,"Pro Mujer Nicaragua",3200.00,female,,8,Monthly,,,25.00,"2021-04-05 08:44:48",,,0.00,0.00,3200.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Mamihasina,2126575,Cereals,Madagascar,Vahatra,1075.00,male,,14,Monthly,,,25.00,"2021-04-05 08:44:47",,,0.00,0.00,1075.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
"Cristhian Leonardo",2107028,"Party Supplies",Ecuador,"Fundación ESPOIR",1100.00,male,,9,Monthly,,,25.00,"2021-02-26 05:47:08",,,2.17,95.40,1100.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
Dashnor,2062259,Tourism,Kosovo,KosInvest,1200.00,male,,23,Monthly,,,25.00,"2021-01-14 20:12:35",,,2.76,134.03,1200.00,,0.03,0.00,0.00,,"Deerfield KIVA",payingBack,
Gladys,1969355,Farming,Kenya,"Juhudi Kilimo",950.00,female,,20,Monthly,,,50.00,"2020-06-11 14:26:10",,,22.44,433.88,950.00,,0.39,0.00,0.00,,"Deerfield KIVA",payingBack,
"Os Quatro Vencedores Group",1968160,Services,Brazil,"Banco do Povo Crédito Solidario",2275.00,female,,9,Monthly,,"2021-01-17 05:07:16",25.00,"2020-06-11 14:26:10",,,24.78,2275.00,2275.00,,0.22,0.00,0.00,,"Deerfield KIVA",ended_with_loss,
U,1970496,Food,Cambodia,"Phillip Bank",900.00,female,,26,Monthly,,,25.00,"2020-06-11 14:26:10",,,9.37,337.50,900.00,,0.00,0.00,0.00,,"Deerfield KIVA",payingBack,
